DATE,UMTMVS
1/1/1992,209438
2/1/1992,232679
3/1/1992,249673
4/1/1992,239666
5/1/1992,243231
6/1/1992,262854
7/1/1992,222832
8/1/1992,240299
9/1/1992,260216
10/1/1992,252272
11/1/1992,245261
12/1/1992,245603
1/1/1993,223258
2/1/1993,246941
3/1/1993,264886
4/1/1993,249181
5/1/1993,250870
6/1/1993,271047
7/1/1993,224077
8/1/1993,248963
9/1/1993,269227
10/1/1993,263075
11/1/1993,256142
12/1/1993,252830
1/1/1994,234097
2/1/1994,259041
3/1/1994,277243
4/1/1994,261755
5/1/1994,267573
6/1/1994,287336
7/1/1994,239931
8/1/1994,276947
9/1/1994,291357
10/1/1994,282489
11/1/1994,280455
12/1/1994,279888
1/1/1995,260175
2/1/1995,286290
3/1/1995,303201
4/1/1995,283129
5/1/1995,289257
6/1/1995,310201
7/1/1995,255163
8/1/1995,293605
9/1/1995,313228
10/1/1995,301301
11/1/1995,293164
12/1/1995,290963
1/1/1996,263041
2/1/1996,290317
3/1/1996,306595
4/1/1996,294667
5/1/1996,303878
6/1/1996,319275
7/1/1996,270709
8/1/1996,304070
9/1/1996,323521
10/1/1996,312818
11/1/1996,307398
12/1/1996,300899
1/1/1997,280870
2/1/1997,310543
3/1/1997,329048
4/1/1997,316494
5/1/1997,316308
6/1/1997,341587
7/1/1997,290346
8/1/1997,321433
9/1/1997,347510
10/1/1997,334742
11/1/1997,322424
12/1/1997,323394
1/1/1998,290004
2/1/1998,324545
3/1/1998,347313
4/1/1998,322621
5/1/1998,322996
6/1/1998,345174
7/1/1998,287703
8/1/1998,323246
9/1/1998,349182
10/1/1998,336238
11/1/1998,324932
12/1/1998,325859
1/1/1999,293222
2/1/1999,325775
3/1/1999,352735
4/1/1999,328363
5/1/1999,332825
6/1/1999,360090
7/1/1999,300148
8/1/1999,343497
9/1/1999,362479
10/1/1999,348259
11/1/1999,342120
12/1/1999,342374
1/1/2000,314656
2/1/2000,342744
3/1/2000,374859
4/1/2000,344093
5/1/2000,356402
6/1/2000,383228
7/1/2000,314885
8/1/2000,355114
9/1/2000,377093
10/1/2000,356771
11/1/2000,344370
12/1/2000,344369
1/1/2001,313393
2/1/2001,333448
3/1/2001,362498
4/1/2001,324116
5/1/2001,346311
6/1/2001,353005
7/1/2001,297903
8/1/2001,340571
9/1/2001,334783
10/1/2001,332093
11/1/2001,317373
12/1/2001,315005
1/1/2002,294008
2/1/2002,306665
3/1/2002,337877
4/1/2002,325061
5/1/2002,338430
6/1/2002,343532
7/1/2002,300402
8/1/2002,337490
9/1/2002,345682
10/1/2002,343614
11/1/2002,324259
12/1/2002,317703
1/1/2003,305102
2/1/2003,317506
3/1/2003,352641
4/1/2003,323894
5/1/2003,334938
6/1/2003,351090
7/1/2003,312163
8/1/2003,337448
9/1/2003,357845
10/1/2003,356066
11/1/2003,329062
12/1/2003,337633
1/1/2004,311470
2/1/2004,330954
3/1/2004,378915
4/1/2004,349906
5/1/2004,356301
6/1/2004,379725
7/1/2004,332134
8/1/2004,371578
9/1/2004,381186
10/1/2004,377425
11/1/2004,367316
12/1/2004,372060
1/1/2005,346845
2/1/2005,360009
3/1/2005,408699
4/1/2005,386657
5/1/2005,396886
6/1/2005,417555
7/1/2005,362573
8/1/2005,416538
9/1/2005,423813
10/1/2005,414186
11/1/2005,401328
12/1/2005,406988
1/1/2006,380278
2/1/2006,386860
3/1/2006,444217
4/1/2006,402039
5/1/2006,438708
6/1/2006,452172
7/1/2006,392564
8/1/2006,444840
9/1/2006,427888
10/1/2006,422912
11/1/2006,408549
12/1/2006,414525
1/1/2007,388574
2/1/2007,397035
3/1/2007,454967
4/1/2007,431264
5/1/2007,460286
6/1/2007,469555
7/1/2007,423669
8/1/2007,468381
9/1/2007,455609
10/1/2007,470641
11/1/2007,453942
12/1/2007,445534
1/1/2008,432307
2/1/2008,442996
3/1/2008,474592
4/1/2008,475667
5/1/2008,490500
6/1/2008,510081
7/1/2008,476948
8/1/2008,482530
9/1/2008,471799
10/1/2008,450521
11/1/2008,383475
12/1/2008,377578
1/1/2009,337101
2/1/2009,340896
3/1/2009,374521
4/1/2009,354790
5/1/2009,358584
6/1/2009,385206
7/1/2009,358332
8/1/2009,377369
9/1/2009,389504
10/1/2009,389108
11/1/2009,372369
12/1/2009,385999
1/1/2010,359013
2/1/2010,362439
3/1/2010,424203
4/1/2010,408902
5/1/2010,408799
6/1/2010,428819
7/1/2010,398302
8/1/2010,424860
9/1/2010,431329
10/1/2010,425072
11/1/2010,412464
12/1/2010,427075
1/1/2011,403211
2/1/2011,407684
3/1/2011,485327
4/1/2011,456422
5/1/2011,466496
6/1/2011,484994
7/1/2011,445432
8/1/2011,484300
9/1/2011,478009
10/1/2011,469514
11/1/2011,453233
12/1/2011,457272
1/1/2012,434180
2/1/2012,454085
3/1/2012,503155
4/1/2012,472886
5/1/2012,492985
6/1/2012,487993
7/1/2012,453560
8/1/2012,493770
9/1/2012,482268
10/1/2012,491794
11/1/2012,467007
12/1/2012,463045
1/1/2013,447825
2/1/2013,453495
3/1/2013,501472
4/1/2013,481813
5/1/2013,501730
6/1/2013,496620
7/1/2013,472578
8/1/2013,502365
9/1/2013,497243
10/1/2013,502409
11/1/2013,475238
12/1/2013,476957
1/1/2014,451848
2/1/2014,457671
3/1/2014,513700
4/1/2014,496599
5/1/2014,506633
6/1/2014,516935
7/1/2014,487886
8/1/2014,506579
9/1/2014,512988
10/1/2014,505685
11/1/2014,458472
12/1/2014,472563
1/1/2015,424095
2/1/2015,430233
3/1/2015,492451
4/1/2015,468957
5/1/2015,468526
6/1/2015,495062
7/1/2015,453879
8/1/2015,469213
9/1/2015,477402
10/1/2015,465063
11/1/2015,435515
12/1/2015,438624
1/1/2016,398051
2/1/2016,423282
3/1/2016,471259
4/1/2016,439410
5/1/2016,451226
6/1/2016,474696
7/1/2016,421557
8/1/2016,464790
9/1/2016,468055
10/1/2016,452861
11/1/2016,438012
12/1/2016,451495
1/1/2017,421083
2/1/2017,427284
3/1/2017,491455
4/1/2017,449373
5/1/2017,478519
6/1/2017,491415
7/1/2017,440348
8/1/2017,489567
9/1/2017,485527
10/1/2017,486150
11/1/2017,473983
12/1/2017,470212
1/1/2018,453777
2/1/2018,455059
3/1/2018,518285
4/1/2018,489659
5/1/2018,515105
6/1/2018,525660
7/1/2018,482868
8/1/2018,529157
9/1/2018,516992
10/1/2018,527031
11/1/2018,495901
12/1/2018,490076
1/1/2019,466791
